variable,dtype,n_unique,n_test,accuracy_lookup,f1_macro_lookup,proxy_level
cultivo,str,223,41214,0.9984228660164022,0.9984126703610511,critico
desagregaci_n_regional_y,str,271,41214,0.9984228660164022,0.9984126703610511,critico
nombre_cientifico,str,214,40643,0.9976871786039416,0.994405608502864,critico
subgrupo_de_cultivo,str,120,41214,0.9948318532537487,0.9916698148018304,critico
estado_fisico_produccion,str,23,41214,0.9035764546028049,0.8675110219137472,medio
grupo_de_cultivo,str,13,41214,0.8854030183918086,0.8164860122691845,medio
periodo,str,36,41214,0.9297326151307808,0.6398175446403739,bajo
c_d_dep,int64,32,41214,0.5511234046683166,0.3493102546565779,bajo
departamento,str,32,41214,0.5511234046683166,0.3493102546565779,bajo
a_o,int64,13,41214,0.5406900567768234,0.28190410997969856,bajo
